team1,team2,winner,toss_winner,toss_decision,venue,date,season
Hampshire,Essex,Essex,Essex,field,"Edgbaston, Birmingham",2023-07-15,2023
Somerset,Essex,Somerset,Essex,field,"Edgbaston, Birmingham",2023-07-15,2023
Somerset,Surrey,Somerset,Surrey,field,"Edgbaston, Birmingham",2023-07-15,2023
Derbyshire,Northamptonshire,Northamptonshire,Northamptonshire,field,"County Ground, Northampton",2024-05-30,2024
Worcestershire,Yorkshire,Yorkshire,Worcestershire,bat,"Headingley, Leeds",2024-05-30,2024
Durham,Lancashire,Lancashire,Lancashire,field,"Old Trafford, Manchester",2024-05-30,2024
Essex,Gloucestershire,Gloucestershire,Gloucestershire,field,"County Ground, Bristol",2024-05-30,2024
Hampshire,Surrey,Surrey,Surrey,field,"The Rose Bowl, Southampton",2024-05-30,2024
Lancashire,Worcestershire,Worcestershire,Worcestershire,field,"County Ground, New Road, Worcester",2024-05-31,2024
Durham,Birmingham Bears,Birmingham Bears,Birmingham Bears,field,"Riverside Ground, Chester-le-Street",2024-05-31,2024
Surrey,Glamorgan,Surrey,Glamorgan,field,"Sophia Gardens, Cardiff",2024-05-31,2024
Kent,Middlesex,Kent,Middlesex,field,"County Ground, Chelmsford",2024-05-31,2024
Nottinghamshire,Northamptonshire,Northamptonshire,Northamptonshire,field,"Trent Bridge, Nottingham",2024-05-31,2024
Essex,Somerset,Somerset,Somerset,field,"The Cooper Associates County Ground, Taunton",2024-05-31,2024
Gloucestershire,Sussex,Sussex,Sussex,field,"County Ground, Hove",2024-05-31,2024
Yorkshire,Leicestershire,Leicestershire,Leicestershire,field,"Grace Road, Leicester",2024-05-31,2024
Birmingham Bears,Nottinghamshire,Birmingham Bears,Birmingham Bears,bat,"Edgbaston, Birmingham",2024-06-01,2024
Leicestershire,Derbyshire,Derbyshire,Leicestershire,bat,"Edgbaston, Birmingham",2024-06-01,2024
Lancashire,Derbyshire,Lancashire,Derbyshire,field,"Old Trafford, Manchester",2024-06-02,2024
Kent,Hampshire,Hampshire,Kent,bat,"The Rose Bowl, Southampton",2024-06-02,2024
Surrey,Somerset,Surrey,Somerset,field,"Kennington Oval, London",2024-06-02,2024
Middlesex,Essex,Essex,Essex,field,"County Ground, Chelmsford",2024-06-02,2024
Yorkshire,Northamptonshire,Yorkshire,Yorkshire,bat,"County Ground, Northampton",2024-06-02,2024
Glamorgan,Sussex,Glamorgan,Glamorgan,bat,"Sophia Gardens, Cardiff",2024-06-02,2024
Worcestershire,Nottinghamshire,Worcestershire,Worcestershire,bat,"Trent Bridge, Nottingham",2024-06-06,2024
Middlesex,Glamorgan,Glamorgan,Middlesex,bat,"Lord's, London",2024-06-06,2024
Leicestershire,Durham,Durham,Durham,field,"Grace Road, Leicester",2024-06-07,2024
Sussex,Surrey,Sussex,Surrey,field,"Kennington Oval, London",2024-06-07,2024
Northamptonshire,Worcestershire,Northamptonshire,Northamptonshire,bat,"County Ground, Northampton",2024-06-07,2024
Lancashire,Birmingham Bears,Lancashire,Birmingham Bears,field,"Old Trafford, Manchester",2024-06-07,2024
Derbyshire,Nottinghamshire,Derbyshire,Nottinghamshire,field,"County Ground, Derby",2024-06-07,2024
Gloucestershire,Hampshire,Hampshire,Hampshire,field,"County Ground, Bristol",2024-06-07,2024
Somerset,Kent,Kent,Kent,field,"St Lawrence Ground, Canterbury",2024-06-07,2024
Glamorgan,Essex,Essex,Essex,field,"County Ground, Chelmsford",2024-06-07,2024
Durham,Birmingham Bears,Durham,Durham,bat,"Edgbaston, Birmingham",2024-06-08,2024
Sussex,Gloucestershire,Sussex,Gloucestershire,field,"County Ground, Bristol",2024-06-09,2024
Kent,Middlesex,Middlesex,Middlesex,field,"St Lawrence Ground, Canterbury",2024-06-09,2024
Leicestershire,Worcestershire,Leicestershire,Worcestershire,field,"Grace Road, Leicester",2024-06-09,2024
Somerset,Hampshire,Somerset,Hampshire,field,"The Cooper Associates County Ground, Taunton",2024-06-09,2024
Derbyshire,Yorkshire,Yorkshire,Yorkshire,field,"Headingley, Leeds",2024-06-09,2024
Nottinghamshire,Lancashire,Lancashire,Nottinghamshire,bat,"Trent Bridge, Nottingham",2024-06-09,2024
Middlesex,Somerset,Somerset,Somerset,field,"Lord's, London",2024-06-11,2024
Leicestershire,Durham,Leicestershire,Durham,field,"Riverside Ground, Chester-le-Street",2024-06-12,2024
Essex,Middlesex,Essex,Middlesex,field,"Lord's, London",2024-06-13,2024
Worcestershire,Nottinghamshire,Nottinghamshire,Nottinghamshire,field,"County Ground, New Road, Worcester",2024-06-14,2024
Yorkshire,Birmingham Bears,Birmingham Bears,Birmingham Bears,field,"Edgbaston, Birmingham",2024-06-14,2024
Somerset,Kent,Somerset,Kent,field,"The Cooper Associates County Ground, Taunton",2024-06-14,2024
Gloucestershire,Surrey,,Surrey,field,"Kennington Oval, London",2024-06-14,2024
Lancashire,Leicestershire,Lancashire,Leicestershire,field,"Grace Road, Leicester",2024-06-14,2024
Essex,Sussex,Sussex,Sussex,field,"County Ground, Chelmsford",2024-06-14,2024
Northamptonshire,Derbyshire,Derbyshire,Derbyshire,field,"County Ground, Derby",2024-06-14,2024
Middlesex,Hampshire,,Hampshire,field,"The Rose Bowl, Southampton",2024-06-14,2024
Durham,Nottinghamshire,,Nottinghamshire,field,"Trent Bridge, Nottingham",2024-06-15,2024
Surrey,Sussex,Surrey,Sussex,field,"County Ground, Hove",2024-06-15,2024
Leicestershire,Yorkshire,Leicestershire,Leicestershire,bat,"Headingley, Leeds",2024-06-16,2024
Northamptonshire,Worcestershire,Northamptonshire,Northamptonshire,bat,"County Ground, New Road, Worcester",2024-06-16,2024
Somerset,Glamorgan,Somerset,Glamorgan,field,"The Cooper Associates County Ground, Taunton",2024-06-16,2024
Kent,Gloucestershire,Gloucestershire,Gloucestershire,field,"St Lawrence Ground, Canterbury",2024-06-16,2024
Derbyshire,Birmingham Bears,Birmingham Bears,Derbyshire,bat,"County Ground, Derby",2024-06-16,2024
Durham,Lancashire,Durham,Durham,bat,"Riverside Ground, Chester-le-Street",2024-06-16,2024
Birmingham Bears,Northamptonshire,Birmingham Bears,Birmingham Bears,bat,"Edgbaston, Birmingham",2024-06-20,2024
Hampshire,Essex,Essex,Essex,field,"County Ground, Chelmsford",2024-06-20,2024
Glamorgan,Gloucestershire,Gloucestershire,Glamorgan,bat,"Sophia Gardens, Cardiff",2024-06-20,2024
Surrey,Middlesex,Surrey,Middlesex,field,"Lord's, London",2024-06-20,2024
Sussex,Kent,Sussex,Kent,field,"County Ground, Hove",2024-06-20,2024
Yorkshire,Lancashire,Yorkshire,Yorkshire,bat,"Headingley, Leeds",2024-06-20,2024
Glamorgan,Surrey,Surrey,Glamorgan,bat,"Kennington Oval, London",2024-06-21,2024
Worcestershire,Birmingham Bears,Birmingham Bears,Birmingham Bears,field,"County Ground, New Road, Worcester",2024-06-21,2024
Nottinghamshire,Derbyshire,Nottinghamshire,Nottinghamshire,bat,"Trent Bridge, Nottingham",2024-06-21,2024
Sussex,Hampshire,Sussex,Hampshire,field,"The Rose Bowl, Southampton",2024-06-21,2024
Kent,Essex,Essex,Essex,field,"St Lawrence Ground, Canterbury",2024-06-21,2024
Somerset,Gloucestershire,Gloucestershire,Gloucestershire,field,"County Ground, Bristol",2024-06-21,2024
Durham,Yorkshire,Durham,Durham,bat,"Riverside Ground, Chester-le-Street",2024-06-21,2024
Northamptonshire,Leicestershire,,Northamptonshire,bat,"County Ground, Northampton",2024-06-21,2024
Glamorgan,Sussex,Glamorgan,Sussex,field,"County Ground, Hove",2024-07-05,2024
Nottinghamshire,Leicestershire,,Leicestershire,field,"Trent Bridge, Nottingham",2024-07-05,2024
Kent,Gloucestershire,Kent,Gloucestershire,field,"College Ground, Cheltenham",2024-07-05,2024
Birmingham Bears,Yorkshire,Birmingham Bears,Birmingham Bears,bat,"Headingley, Leeds",2024-07-05,2024
Durham,Worcestershire,Durham,Durham,bat,"Riverside Ground, Chester-le-Street",2024-07-05,2024
Leicestershire,Derbyshire,Derbyshire,Derbyshire,field,"Grace Road, Leicester",2024-07-06,2024
Glamorgan,Essex,Glamorgan,Essex,field,"Sophia Gardens, Cardiff",2024-07-07,2024
Yorkshire,Derbyshire,Derbyshire,Derbyshire,field,"Queen's Park, Chesterfield",2024-07-07,2024
Worcestershire,Lancashire,Lancashire,Lancashire,field,"Old Trafford, Manchester",2024-07-07,2024
Durham,Northamptonshire,Northamptonshire,Northamptonshire,field,"County Ground, Northampton",2024-07-07,2024
Nottinghamshire,Birmingham Bears,Birmingham Bears,Birmingham Bears,field,"Trent Bridge, Nottingham",2024-07-07,2024
Somerset,Gloucestershire,Gloucestershire,Gloucestershire,field,"The Cooper Associates County Ground, Taunton",2024-07-07,2024
Surrey,Kent,Surrey,Kent,field,"Kennington Oval, London",2024-07-07,2024
Sussex,Hampshire,Sussex,Hampshire,field,"County Ground, Hove",2024-07-10,2024
Worcestershire,Leicestershire,Worcestershire,Leicestershire,field,"County Ground, New Road, Worcester",2024-07-11,2024
Durham,Yorkshire,Yorkshire,Durham,bat,"Headingley, Leeds",2024-07-11,2024
Essex,Kent,Essex,Kent,field,"County Ground, Chelmsford",2024-07-11,2024
Middlesex,Gloucestershire,Middlesex,Gloucestershire,field,"College Ground, Cheltenham",2024-07-11,2024
Durham,Nottinghamshire,Durham,Nottinghamshire,field,"Riverside Ground, Chester-le-Street",2024-07-12,2024
Glamorgan,Middlesex,Middlesex,Middlesex,field,"Sophia Gardens, Cardiff",2024-07-12,2024
Gloucestershire,Hampshire,Hampshire,Gloucestershire,bat,"The Rose Bowl, Southampton",2024-07-12,2024
Sussex,Kent,Sussex,Kent,field,"St Lawrence Ground, Canterbury",2024-07-12,2024
Northamptonshire,Leicestershire,Leicestershire,Leicestershire,field,"Grace Road, Leicester",2024-07-12,2024
Surrey,Somerset,Somerset,Surrey,bat,"The Cooper Associates County Ground, Taunton",2024-07-12,2024
Worcestershire,Birmingham Bears,Worcestershire,Worcestershire,bat,"Edgbaston, Birmingham",2024-07-12,2024
Sussex,Essex,Essex,Essex,field,"County Ground, Hove",2024-07-13,2024
Birmingham Bears,Derbyshire,Birmingham Bears,Derbyshire,field,"Edgbaston, Birmingham",2024-07-14,2024
Worcestershire,Yorkshire,Yorkshire,Yorkshire,field,"County Ground, New Road, Worcester",2024-07-14,2024
Nottinghamshire,Leicestershire,Leicestershire,Nottinghamshire,bat,"Grace Road, Leicester",2024-07-14,2024
Surrey,Essex,Surrey,Essex,field,"County Ground, Chelmsford",2024-07-14,2024
Gloucestershire,Glamorgan,Gloucestershire,Glamorgan,field,"College Ground, Cheltenham",2024-07-14,2024
Hampshire,Somerset,Somerset,Hampshire,bat,"The Rose Bowl, Southampton",2024-07-14,2024
Durham,Northamptonshire,Northamptonshire,Northamptonshire,field,"Riverside Ground, Chester-le-Street",2024-07-14,2024
Glamorgan,Kent,Glamorgan,Kent,field,"St Lawrence Ground, Canterbury",2024-07-16,2024
Nottinghamshire,Lancashire,Lancashire,Lancashire,field,"Old Trafford, Manchester",2024-07-17,2024
Hampshire,Surrey,Surrey,Surrey,field,"Kennington Oval, London",2024-07-18,2024
Sussex,Somerset,Somerset,Somerset,field,"The Cooper Associates County Ground, Taunton",2024-07-18,2024
Worcestershire,Derbyshire,Derbyshire,Derbyshire,field,"County Ground, New Road, Worcester",2024-07-18,2024
Gloucestershire,Middlesex,Gloucestershire,Gloucestershire,bat,"County Ground, Chelmsford",2024-07-18,2024
Northamptonshire,Birmingham Bears,Northamptonshire,Birmingham Bears,field,"County Ground, Northampton",2024-07-18,2024
Nottinghamshire,Yorkshire,Nottinghamshire,Yorkshire,field,"Headingley, Leeds",2024-07-19,2024
Derbyshire,Durham,Durham,Durham,field,"County Ground, Derby",2024-07-19,2024
Glamorgan,Somerset,Glamorgan,Glamorgan,bat,"Sophia Gardens, Cardiff",2024-07-19,2024
Hampshire,Essex,Hampshire,Essex,field,"The Rose Bowl, Southampton",2024-07-19,2024
Kent,Surrey,Kent,Surrey,field,"St Lawrence Ground, Canterbury",2024-07-19,2024
Lancashire,Northamptonshire,Northamptonshire,Northamptonshire,field,"Old Trafford, Manchester",2024-07-19,2024
Middlesex,Sussex,Sussex,Middlesex,bat,"County Ground, Hove",2024-07-19,2024
Birmingham Bears,Leicestershire,Birmingham Bears,Birmingham Bears,bat,"Edgbaston, Birmingham",2024-07-19,2024
Durham,Surrey,Surrey,Surrey,field,"Kennington Oval, London",2024-09-03,2024
Lancashire,Sussex,Sussex,Sussex,field,"County Ground, Hove",2024-09-04,2024
Somerset,Northamptonshire,Somerset,Northamptonshire,field,"County Ground, Northampton",2024-09-05,2024
Gloucestershire,Birmingham Bears,Gloucestershire,Birmingham Bears,field,"Edgbaston, Birmingham",2024-09-06,2024
Surrey,Somerset,Somerset,Somerset,field,"Edgbaston, Birmingham",2024-09-14,2024
Sussex,Gloucestershire,Gloucestershire,Sussex,bat,"Edgbaston, Birmingham",2024-09-14,2024
Somerset,Gloucestershire,Gloucestershire,Gloucestershire,field,"Edgbaston, Birmingham",2024-09-14,2024
Lancashire,Worcestershire,Lancashire,Lancashire,bat,"Old Trafford, Manchester",2025-05-29,2025
Sussex,Middlesex,Sussex,Middlesex,field,"Lord's, London",2025-05-29,2025
Northamptonshire,Yorkshire,Northamptonshire,Yorkshire,field,"Headingley, Leeds",2025-05-30,2025
Surrey,Somerset,Somerset,Somerset,field,"The Cooper Associates County Ground, Taunton",2025-05-30,2025
Birmingham Bears,Nottinghamshire,Nottinghamshire,Nottinghamshire,field,"Trent Bridge, Nottingham",2025-05-30,2025
Hampshire,Essex,Hampshire,Essex,field,"The Rose Bowl, Southampton",2025-05-30,2025
Kent,Gloucestershire,Kent,Gloucestershire,field,"County Ground, Bristol",2025-05-30,2025
Derbyshire,Leicestershire,Leicestershire,Leicestershire,field,"Grace Road, Leicester",2025-05-30,2025
Birmingham Bears,Durham,Durham,Durham,field,"Edgbaston, Birmingham",2025-05-31,2025
Lancashire,Nottinghamshire,Lancashire,Lancashire,bat,"Old Trafford, Manchester",2025-05-31,2025
Leicestershire,Northamptonshire,Northamptonshire,Northamptonshire,field,"County Ground, Northampton",2025-06-01,2025
Middlesex,Glamorgan,Glamorgan,Middlesex,bat,"Merchant Taylors' School Ground, Northwood",2025-06-01,2025
Sussex,Gloucestershire,Sussex,Gloucestershire,field,"County Ground, Hove",2025-06-01,2025
Worcestershire,Yorkshire,Worcestershire,Yorkshire,field,"County Ground, New Road, Worcester",2025-06-01,2025
Durham,Lancashire,Lancashire,Lancashire,field,"Riverside Ground, Chester-le-Street",2025-06-01,2025
Essex,Somerset,Somerset,Essex,bat,"County Ground, Chelmsford",2025-06-01,2025
Surrey,Glamorgan,Surrey,Glamorgan,field,"Sophia Gardens, Cardiff",2025-06-03,2025
Northamptonshire,Derbyshire,Northamptonshire,Derbyshire,field,"County Ground, Derby",2025-06-04,2025
Lancashire,Leicestershire,Leicestershire,Lancashire,bat,"Old Trafford, Manchester",2025-06-04,2025
Kent,Middlesex,,Middlesex,field,"Lord's, London",2025-06-05,2025
Surrey,Hampshire,Hampshire,Hampshire,field,"Kennington Oval, London",2025-06-05,2025
Northamptonshire,Worcestershire,Northamptonshire,Northamptonshire,bat,"County Ground, New Road, Worcester",2025-06-06,2025
Sussex,Somerset,Somerset,Somerset,field,"County Ground, Hove",2025-06-06,2025
Leicestershire,Durham,Leicestershire,Durham,field,"Grace Road, Leicester",2025-06-06,2025
Surrey,Kent,Surrey,Kent,field,"St Lawrence Ground, Canterbury",2025-06-06,2025
Gloucestershire,Hampshire,Hampshire,Gloucestershire,bat,"The Rose Bowl, Southampton",2025-06-06,2025
Derbyshire,Nottinghamshire,Nottinghamshire,Nottinghamshire,field,"County Ground, Derby",2025-06-06,2025
Yorkshire,Birmingham Bears,Birmingham Bears,Birmingham Bears,field,"Edgbaston, Birmingham",2025-06-06,2025
Essex,Glamorgan,Glamorgan,Glamorgan,field,"Sophia Gardens, Cardiff",2025-06-06,2025
Worcestershire,Nottinghamshire,Worcestershire,Nottinghamshire,field,"Trent Bridge, Nottingham",2025-06-07,2025
Yorkshire,Leicestershire,Yorkshire,Leicestershire,field,"Headingley, Leeds",2025-06-08,2025
Birmingham Bears,Derbyshire,Birmingham Bears,Derbyshire,field,"Edgbaston, Birmingham",2025-06-08,2025
Essex,Middlesex,Middlesex,Middlesex,field,"County Ground, Chelmsford",2025-06-08,2025
Hampshire,Kent,Kent,Hampshire,bat,"St Lawrence Ground, Canterbury",2025-06-08,2025
Northamptonshire,Lancashire,Northamptonshire,Northamptonshire,bat,"Old Trafford, Manchester",2025-06-08,2025
Sussex,Glamorgan,Sussex,Sussex,bat,"County Ground, Hove",2025-06-08,2025
Northamptonshire,Birmingham Bears,Northamptonshire,Birmingham Bears,field,"County Ground, Northampton",2025-06-11,2025
Yorkshire,Nottinghamshire,Yorkshire,Yorkshire,bat,"Trent Bridge, Nottingham",2025-06-11,2025
Durham,Derbyshire,Durham,Derbyshire,field,"Riverside Ground, Chester-le-Street",2025-06-11,2025
Glamorgan,Essex,Glamorgan,Essex,field,"County Ground, Chelmsford",2025-06-12,2025
Middlesex,Somerset,Somerset,Somerset,field,"The Cooper Associates County Ground, Taunton",2025-06-12,2025
Kent,Surrey,Surrey,Surrey,field,"Kennington Oval, London",2025-06-12,2025
Gloucestershire,Somerset,Somerset,Somerset,field,"County Ground, Bristol",2025-06-13,2025
Hampshire,Middlesex,,Middlesex,field,"The Rose Bowl, Southampton",2025-06-13,2025
Durham,Northamptonshire,Durham,Durham,bat,"County Ground, Northampton",2025-06-13,2025
Derbyshire,Nottinghamshire,Derbyshire,Nottinghamshire,field,"Trent Bridge, Nottingham",2025-06-13,2025
Essex,Sussex,,Sussex,field,"County Ground, Hove",2025-06-13,2025
Worcestershire,Lancashire,Lancashire,Worcestershire,bat,"County Ground, New Road, Worcester",2025-06-13,2025
Birmingham Bears,Yorkshire,Birmingham Bears,Birmingham Bears,bat,"Headingley, Leeds",2025-06-13,2025
Sussex,Glamorgan,Sussex,Sussex,bat,"Sophia Gardens, Cardiff",2025-06-14,2025
Birmingham Bears,Nottinghamshire,Nottinghamshire,Nottinghamshire,field,"Edgbaston, Birmingham",2025-06-14,2025
Leicestershire,Derbyshire,Derbyshire,Leicestershire,bat,"Edgbaston, Birmingham",2025-06-14,2025
Glamorgan,Gloucestershire,Glamorgan,Glamorgan,bat,"County Ground, Bristol",2025-06-15,2025
Worcestershire,Leicestershire,Leicestershire,Worcestershire,bat,"Grace Road, Leicester",2025-06-15,2025
Kent,Somerset,Kent,Somerset,field,"The Cooper Associates County Ground, Taunton",2025-06-15,2025
Yorkshire,Durham,Durham,Durham,field,York Cricket Club,2025-06-15,2025
Surrey,Hampshire,Surrey,Hampshire,field,"The Rose Bowl, Southampton",2025-06-17,2025
Durham,Worcestershire,Worcestershire,Worcestershire,field,"County Ground, New Road, Worcester",2025-06-18,2025
Kent,Gloucestershire,Gloucestershire,Kent,bat,"St Lawrence Ground, Canterbury",2025-06-18,2025
Surrey,Sussex,Surrey,Sussex,field,"Kennington Oval, London",2025-06-18,2025
Somerset,Hampshire,Somerset,Hampshire,field,"The Cooper Associates County Ground, Taunton",2025-06-19,2025
Nottinghamshire,Leicestershire,Leicestershire,Leicestershire,field,"Grace Road, Leicester",2025-06-19,2025
Middlesex,Essex,Middlesex,Essex,field,"Lord's, London",2025-06-19,2025
Surrey,Middlesex,Surrey,Middlesex,field,"Kennington Oval, London",2025-06-20,2025
Worcestershire,Birmingham Bears,Birmingham Bears,Birmingham Bears,field,"Edgbaston, Birmingham",2025-06-20,2025
Lancashire,Derbyshire,Lancashire,Derbyshire,field,"County Ground, Derby",2025-06-20,2025
Durham,Yorkshire,Durham,Yorkshire,field,"Riverside Ground, Chester-le-Street",2025-06-20,2025
Kent,Essex,Kent,Essex,field,"County Ground, Chelmsford",2025-06-20,2025
Glamorgan,Somerset,Somerset,Somerset,field,"Sophia Gardens, Cardiff",2025-06-20,2025
Hampshire,Gloucestershire,Gloucestershire,Gloucestershire,field,"County Ground, Bristol",2025-06-20,2025
Nottinghamshire,Northamptonshire,Nottinghamshire,Nottinghamshire,bat,"County Ground, Northampton",2025-06-20,2025
Glamorgan,Somerset,Glamorgan,Somerset,field,"The Cooper Associates County Ground, Taunton",2025-07-04,2025
Northamptonshire,Lancashire,Lancashire,Northamptonshire,bat,"County Ground, Northampton",2025-07-04,2025
Leicestershire,Birmingham Bears,Birmingham Bears,Birmingham Bears,field,"Grace Road, Leicester",2025-07-04,2025
Yorkshire,Worcestershire,Yorkshire,Worcestershire,field,"Headingley, Leeds",2025-07-04,2025
Gloucestershire,Essex,Gloucestershire,Essex,field,"County Ground, Chelmsford",2025-07-04,2025
Durham,Nottinghamshire,Durham,Nottinghamshire,field,"Riverside Ground, Chester-le-Street",2025-07-04,2025
Sussex,Kent,Sussex,Kent,field,"St Lawrence Ground, Canterbury",2025-07-04,2025
Hampshire,Sussex,Hampshire,Sussex,field,"County Ground, Hove",2025-07-05,2025
Lancashire,Derbyshire,Lancashire,Derbyshire,field,"Old Trafford, Manchester",2025-07-05,2025
Leicestershire,Nottinghamshire,Nottinghamshire,Leicestershire,bat,"Trent Bridge, Nottingham",2025-07-06,2025
Northamptonshire,Worcestershire,Worcestershire,Worcestershire,field,"County Ground, Northampton",2025-07-06,2025
Surrey,Essex,Essex,Essex,field,"Kennington Oval, London",2025-07-06,2025
Hampshire,Somerset,Somerset,Somerset,field,"The Rose Bowl, Southampton",2025-07-06,2025
Durham,Birmingham Bears,Durham,Birmingham Bears,field,"Riverside Ground, Chester-le-Street",2025-07-06,2025
Kent,Glamorgan,Glamorgan,Glamorgan,field,"Sophia Gardens, Cardiff",2025-07-06,2025
Yorkshire,Derbyshire,Derbyshire,Derbyshire,field,"Queen's Park, Chesterfield",2025-07-06,2025
Gloucestershire,Middlesex,Gloucestershire,Middlesex,field,"County Ground, Bristol",2025-07-06,2025
Somerset,Essex,Somerset,Essex,field,"The Cooper Associates County Ground, Taunton",2025-07-08,2025
Birmingham Bears,Lancashire,Birmingham Bears,Lancashire,field,"Edgbaston, Birmingham",2025-07-09,2025
Surrey,Gloucestershire,Surrey,Gloucestershire,field,"County Ground, Bristol",2025-07-09,2025
Middlesex,Hampshire,Hampshire,Hampshire,field,"Merchant Taylors' School Ground, Northwood",2025-07-09,2025
Sussex,Kent,Kent,Sussex,bat,"County Ground, Hove",2025-07-09,2025
Worcestershire,Derbyshire,Worcestershire,Worcestershire,bat,"County Ground, Derby",2025-07-10,2025
Hampshire,Glamorgan,Hampshire,Hampshire,bat,"The Rose Bowl, Southampton",2025-07-10,2025
Northamptonshire,Leicestershire,Leicestershire,Leicestershire,field,"Grace Road, Leicester",2025-07-10,2025
Birmingham Bears,Worcestershire,Birmingham Bears,Worcestershire,field,"County Ground, New Road, Worcester",2025-07-11,2025
Durham,Nottinghamshire,Nottinghamshire,Durham,bat,"Trent Bridge, Nottingham",2025-07-11,2025
Northamptonshire,Derbyshire,Northamptonshire,Derbyshire,field,"County Ground, Northampton",2025-07-11,2025
Glamorgan,Surrey,Surrey,Glamorgan,bat,"Kennington Oval, London",2025-07-11,2025
Yorkshire,Lancashire,Yorkshire,Yorkshire,bat,"Old Trafford, Manchester",2025-07-11,2025
Kent,Somerset,Somerset,Somerset,field,"St Lawrence Ground, Canterbury",2025-07-11,2025
Sussex,Essex,Essex,Sussex,bat,"County Ground, Chelmsford",2025-07-11,2025
Middlesex,Gloucestershire,Middlesex,Middlesex,bat,"Merchant Taylors' School Ground, Northwood",2025-07-11,2025
Yorkshire,Derbyshire,Derbyshire,Derbyshire,field,"Headingley, Leeds",2025-07-13,2025
Leicestershire,Worcestershire,Worcestershire,Leicestershire,bat,"County Ground, New Road, Worcester",2025-07-13,2025
Durham,Lancashire,Lancashire,Durham,bat,"Old Trafford, Manchester",2025-07-13,2025
Surrey,Somerset,Surrey,Somerset,field,"Kennington Oval, London",2025-07-13,2025
Sussex,Hampshire,Hampshire,Sussex,bat,"The Rose Bowl, Southampton",2025-07-13,2025
Gloucestershire,Glamorgan,Gloucestershire,Gloucestershire,bat,"Sophia Gardens, Cardiff",2025-07-13,2025
Northamptonshire,Birmingham Bears,Northamptonshire,Northamptonshire,bat,"Edgbaston, Birmingham",2025-07-13,2025
Middlesex,Kent,Kent,Middlesex,bat,"St Lawrence Ground, Canterbury",2025-07-13,2025
Surrey,Middlesex,Surrey,Surrey,bat,"Lord's, London",2025-07-16,2025
Hampshire,Essex,Essex,Essex,field,"County Ground, Chelmsford",2025-07-17,2025
Gloucestershire,Sussex,Sussex,Gloucestershire,bat,"College Ground, Cheltenham",2025-07-17,2025
Worcestershire,Nottinghamshire,Worcestershire,Nottinghamshire,field,"County Ground, New Road, Worcester",2025-07-17,2025
Lancashire,Yorkshire,Lancashire,Lancashire,bat,"Headingley, Leeds",2025-07-17,2025
Leicestershire,Yorkshire,Yorkshire,Yorkshire,field,"Grace Road, Leicester",2025-07-18,2025
Lancashire,Nottinghamshire,Nottinghamshire,Lancashire,bat,"Trent Bridge, Nottingham",2025-07-18,2025
Essex,Kent,Kent,Kent,field,"St Lawrence Ground, Canterbury",2025-07-18,2025
Surrey,Sussex,Surrey,Surrey,bat,"County Ground, Hove",2025-07-18,2025
Northamptonshire,Durham,Durham,Northamptonshire,bat,"Riverside Ground, Chester-le-Street",2025-07-18,2025
Birmingham Bears,Derbyshire,Birmingham Bears,Birmingham Bears,bat,"County Ground, Derby",2025-07-18,2025
Glamorgan,Middlesex,Glamorgan,Glamorgan,bat,"Sophia Gardens, Cardiff",2025-07-18,2025
Somerset,Gloucestershire,Somerset,Somerset,bat,"The Cooper Associates County Ground, Taunton",2025-07-18,2025
